n r1 r2 r3 r4
0 0.000183114 0.00781286 0.109136 0.412723
1 0.00109866 0.0468761 0.654251 0.476146
2 0.00494392 0.210941 0.943282 0.142367
3 0.0197756 0.84376 0.771436 0.568885
4 0.0741584 0.164091 0.139076 0.132008
5 0.26697 0.390712 0.891532 0.672086
6 0.934393 0.867448 0.0975078 0.844444
7 0.203632 0.688282 0.561261 0.0178902
8 0.81225 0.322659 0.489997 0.507345
9 0.0408144 0.741414 0.88863 0.883058
10 0.934638 0.544555 0.92181 0.732243
11 0.240499 0.594603 0.533192 0.445934
12 0.0312489 0.666621 0.902861 0.0854224
13 0.023007 0.648299 0.618435 0.499126
14 0.856802 0.890211 0.584857 0.225955
15 0.933748 0.506569 0.943231 0.863595
16 0.89127 0.0275196 0.395671 0.147975
17 0.943891 0.605996 0.88495 0.115494
18 0.641913 0.388301 0.748662 0.361191
19 0.356465 0.875841 0.527418 0.127703
20 0.36157 0.760336 0.426552 0.515494
21 0.961237 0.679446 0.812555 0.943637
22 0.513289 0.233652 0.0363586 0.0223781
23 0.428599 0.286892 0.905157 0.641536
24 0.951996 0.618489 0.103717 0.647814
25 0.854584 0.128904 0.475883 0.11306
26 0.55954 0.207023 0.921852 0.84803
27 0.665985 0.0820066 0.248161 0.0706418
28 0.960051 0.628832 0.192297 0.791576
29 0.766444 0.0349342 0.920334 0.113681
30 0.958206 0.550115 0.791337 0.557902
31 0.851241 0.986282 0.465016 0.324279
32 0.483594 0.96666 0.668058 0.924558
33 0.240393 0.923417 0.823203 0.628839
34 0.0900132 0.840564 0.926702 0.452006
35 0.376546 0.73263 0.151384 0.0524916
36 0.449157 0.830702 0.567983 0.246891
37 0.306028 0.390544 0.045441 0.00892341
38 0.793757 0.866945 0.160798 0.831519
39 0.00828371 0.686772 0.55582 0.908802
40 0.905894 0.318127 0.887736 0.969143
41 0.360808 0.727819 0.324035 0.635638
42 0.0118071 0.503768 0.954589 0.0915459
43 0.823568 0.472242 0.811216 0.828532
44 0.835145 0.29954 0.275994 0.147278
45 0.598759 0.547057 0.35502 0.426879
46 0.0762457 0.586484 0.646175 0.235777
47 0.068642 0.59539 0.681873 0.572748
48 0.72564 0.293984 0.275661 0.314496
49 0.736064 0.405389 0.517106 0.732244
50 0.885621 0.786479 0.621692 0.563005
51 0.689149 0.0703756 0.0761968 0.787831
52 0.164311 0.343939 0.861952 0.659941
53 0.783522 0.430255 0.485942 0.869166
54 0.22233 0.486078 0.158083 0.275528
55 0.282285 0.0441705 0.575017 0.830673
56 0.692742 0.890324 0.0273576 0.504288
57 0.615885 0.944409 0.988994 0.549669
58 0.46063 0.653541 0.687747 0.75942
59 0.220818 0.42156 0.225532 0.609497
60 0.179238 0.647494 0.163474 0.822204
61 0.0880684 0.0909187 0.951056 0.447753
62 0.915267 0.718068 0.235064 0.28668
63 0.698988 0.490143 0.850883 0.6903
64 0.956521 0.478241 0.98972 0.561683
65 0.448238 0.458161 0.280379 0.157401
66 0.0807374 0.444797 0.774792 0.889256
67 0.450281 0.545328 0.125342 0.918926
68 0.97505 0.268797 0.778919 0.510258
69 0.797769 0.704829 0.545435 0.791211
