n max1 avg1 max2 avg2
1 0 0 0 0
1001 1797.5 28.43 10 5.53
2001 5069 70.61 16 12.43
3001 11278 143.115 22 20.63
4001 19992.5 240.8 34.5 28.685
5001 31259 364 41.5 36.97
6001 45061.5 512.075 51 45.45
7001 61327.5 687.675 138 56.27
8001 80680.5 889.725 66 62.185
9001 103021 1124.53 78 71.145
10001 125648 1361.29 92.5 79.505
11001 152142 1637.18 96.5 88.055
12001 182444 1950.09 112.5 96.76
13001 212081 2256.72 109 104.515
14001 245708 2603.51 119.5 112.845
15001 282160 2978.63 153.5 121.3
16001 320592 3373.32 141.5 129.99
17001 361272 3790.74 150 138.24
18001 406074 4249.57 153.5 146.985
19001 451769 4718.15 182 155.23
20001 502690 5236.44 169 163.645
21001 552418 5745.8 202.5 172.37
22001 606532 6309.74 223.5 187.47
23001 662919 6871.84 200 189.135
24001 723065 7484.53 236.5 198.325
25001 783758 8100.76 249 206.64
26001 849000 8764.08 255 215.23
27001 912879 9412.84 234 222.97
28001 981478 10116.4 798.5 236.49
29001 1.0645e+06 10956.9 351 242.405
30001 1.14353e+06 11752.5 283.5 248.82
31001 1.20523e+06 12378.2 265 256.33
32001 1.28288e+06 13166 278.5 264.845
33001 1.36449e+06 13991.8 285 273.535
34001 1.46178e+06 14976.1 298.5 281.93
35001 1.54333e+06 15801.7 304 289.265
36001 1.62094e+06 16589.4 328.5 299.055
37001 1.73918e+06 17796.9 546 318.175
38001 1.88672e+06 19288.9 398.5 324.845
39001 1.96596e+06 20069.9 389.5 324.52
