n v2 v3
10 0 0
210 28.02 0
410 90.48 0
610 161 1
810 283 1
1010 439 2
1210 629.47 2
1410 854.46 3
1610 1112.34 3
1810 1418.34 3
2010 1734.57 4
2210 2096.53 4
2410 2491.15 5
2610 2923.44 5
2810 3383.18 6
3010 3887.53 6
3210 4412.76 6
3410 4992.18 7
3610 5584.15 7
3810 6225.84 8
4010 6889.01 8
4210 7584.55 9
4410 8344.48 9
4610 9155.41 10
4810 9983.62 10
5010 10856.6 10
5210 11710.5 11
5410 12619.3 11
5610 13587.4 12
5810 14571.5 12
6010 15587.1 13
6210 16638 13
6410 17752.5 13
6610 19027.8 14
6810 20030.9 15
7010 21911.6 15
7210 22993.8 16
7410 24294 16
7610 25597.7 17
7810 27002.9 17
8010 28396.6 18
8210 29846.5 18
8410 31295.9 18
8610 32823.2 19
8810 34284.3 19
9010 35012.8 19
9210 36478.3 20
9410 37902.4 20
9610 39517.4 21
9810 41215.4 21
10010 42903 21
10210 44628.7 22
10410 46407 22
10610 48563.2 23
10810 50267.5 23
11010 51926.3 23
11210 53820 24
11410 55757.7 24
11610 57749.4 25
11810 60152.4 25
12010 61784.2 26
12210 64081.2 26
12410 66084.3 26
12610 68333.7 27
12810 70703.8 27
13010 73131 28
13210 75369.5 28
13410 77841.9 29
13610 80096.2 29
13810 82752 30
14010 84780.5 30
14210 87336.8 30
14410 90073.1 32
14610 92334.1 32
14810 94485 32
15010 97940.4 32
15210 100106 33
15410 101898 33
15610 105726 33
15810 108412 34
16010 111029 34
16210 113890 35
16410 117028 35
16610 119946 36
16810 122220 37
17010 125627 36
17210 127238 37
17410 129960 37
17610 133560 38
17810 137173 38
18010 141382 39
