n pi
10 3.05
20 3.1125
30 3.12111
40 3.13313
50 3.13
60 3.1325
70 3.1349
80 3.13578
90 3.13988
100 3.1397
110 3.13793
120 3.13979
130 3.13852
140 3.13862
150 3.14049
160 3.13941
170 3.1401
180 3.14052
190 3.14008
200 3.14023
210 3.14043
220 3.14052
230 3.14172
240 3.14071
250 3.14069
260 3.14084
270 3.14081
280 3.14083
290 3.14094
300 3.14086
310 3.14132
320 3.14106
330 3.14109
340 3.14108
350 3.14078
360 3.1409
370 3.14134
380 3.1412
390 3.14126
400 3.14128
410 3.14104
420 3.14116
430 3.14127
440 3.14141
450 3.14124
460 3.14137
470 3.14124
480 3.14122
490 3.14131
500 3.14128
510 3.1413
520 3.14134
530 3.14129
540 3.14132
550 3.14128
560 3.1412
570 3.14147
580 3.14139
590 3.14147
600 3.14137
610 3.14118
620 3.14141
630 3.14141
640 3.1414
650 3.14142
660 3.14139
670 3.14146
680 3.14146
690 3.14133
700 3.14138
710 3.14145
720 3.14136
730 3.14154
740 3.14149
750 3.1415
760 3.14146
770 3.14133
780 3.14151
790 3.14157
800 3.14149
810 3.14152
820 3.14143
830 3.1414
840 3.14145
850 3.14144
860 3.14146
870 3.14151
880 3.14144
890 3.14153
900 3.14142
910 3.14142
920 3.14156
930 3.14152
940 3.1415
950 3.14153
960 3.14146
970 3.14144
980 3.1415
990 3.1415
1000 3.14152
1010 3.14148
1020 3.14149
1030 3.14152
1040 3.14145
1050 3.14148
1060 3.14145
1070 3.14152
1080 3.14146
1090 3.1415
1100 3.14152
1110 3.1415
1120 3.14147
1130 3.1415
1140 3.14152
1150 3.14154
1160 3.1415
1170 3.14151
1180 3.14153
1190 3.14146
1200 3.14151
1210 3.14153
1220 3.14145
1230 3.14152
1240 3.14152
1250 3.14147
1260 3.14148
1270 3.1415
1280 3.14153
1290 3.14154
1300 3.14149
1310 3.14159
1320 3.14152
1330 3.14148
1340 3.14155
1350 3.14155
1360 3.14154
1370 3.14155
1380 3.14149
1390 3.14153
1400 3.14156
1410 3.14152
1420 3.14156
1430 3.14154
1440 3.14153
1450 3.14156
1460 3.14152
1470 3.14152
1480 3.14155
1490 3.14154
1500 3.14157
1510 3.14154
1520 3.14155
1530 3.14157
1540 3.14154
1550 3.14153
1560 3.14153
1570 3.14155
1580 3.14154
1590 3.14154
1600 3.14153
1610 3.14153
1620 3.14151
1630 3.14155
1640 3.14155
1650 3.14156
1660 3.14154
1670 3.14155
1680 3.14152
1690 3.14153
1700 3.14155
1710 3.14157
1720 3.14157
1730 3.14154
1740 3.14153
1750 3.14154
1760 3.14155
1770 3.14155
1780 3.14157
1790 3.14157
1800 3.14152
1810 3.14156
1820 3.14155
1830 3.14152
1840 3.14157
1850 3.14156
1860 3.14155
1870 3.14158
1880 3.14156
1890 3.14154
1900 3.14154
1910 3.14155
1920 3.14158
1930 3.14157
1940 3.14153
1950 3.14156
1960 3.14154
1970 3.14153
1980 3.14156
1990 3.14156
2000 3.14158
2010 3.14158
2020 3.14154
2030 3.14156
2040 3.14153
2050 3.14156
2060 3.14159
2070 3.14156
2080 3.14156
2090 3.14155
2100 3.14154
2110 3.14154
2120 3.14156
2130 3.14155
2140 3.14158
2150 3.14155
2160 3.14153
2170 3.14157
2180 3.14155
2190 3.14155
2200 3.14157
2210 3.14156
2220 3.14157
2230 3.14155
2240 3.14155
2250 3.14155
2260 3.14158
2270 3.14157
2280 3.14156
2290 3.14155
2300 3.14156
2310 3.14156
2320 3.14155
2330 3.14156
2340 3.14157
2350 3.14157
2360 3.14156
2370 3.14158
2380 3.14155
2390 3.14156
2400 3.14158
2410 3.14156
2420 3.14158
2430 3.14158
2440 3.14155
2450 3.14157
