n t
4857 95
17276 236
9134 144
10201 155
7118 121
17462 270
13894 98
9842 76
3804 40
19636 105
10090 61
15821 87
14876 83
11746 69
1929 23
19592 104
5788 41
3773 32
5805 42
3667 31
12449 97
1692 21
19710 105
13293 76
15740 87
19083 102
17285 94
7376 49
10529 63
1943 23
15759 87
8771 56
11950 70
4171 34
15662 110
7544 50
7069 48
18329 99
19229 109
16969 130
623 17
19570 143
11797 98
4646 38
15349 114
11649 89
7105 48
14852 83
17474 95
15948 88
17926 97
3026 28
15244 85
10609 66
14153 83
14180 82
13959 81
4465 37
13190 75
15780 87
16244 89
8381 54
18378 99
1991 23
9610 59
3000 28
19198 103
2035 23
4141 34
14306 81
7217 48
16503 91
7455 50
850 16
15371 99
9456 61
15139 84
11230 66
16758 91
9266 57
2417 25
16539 101
7810 51
1356 19
1157 17
15111 84
658 14
14859 83
12422 72
11104 66
8379 63
5531 41
13385 76
15995 88
17931 97
12116 70
7127 47
12551 73
15274 85
3263 30
5621 41
3803 32
6728 46
774 16
2668 28
19419 104
5529 41
15206 85
15847 87
11907 70
13532 77
18117 98
10267 62
7423 49
1201 19
15312 85
19154 103
13043 75
15905 87
2633 27
17437 120
4990 38
9635 60
16436 90
454 12
9282 58
6917 47
4209 34
4300 35
9313 59
18307 99
13457 77
13752 78
12676 73
17345 94
1310 20
4993 38
15018 93
1488 20
11585 68
4849 37
177 8
3858 33
11987 70
8148 52
18116 98
14225 80
15111 84
15711 87
9865 60
17524 95
9606 59
6006 43
11805 87
11378 70
19275 107
992 18
15008 84
18443 100
6408 45
12603 73
4364 35
12363 72
13256 75
5003 37
10420 63
4952 37
18654 100
9329 68
7643 50
13399 76
3492 30
12779 74
2542 27
6929 48
10058 64
12545 75
5240 40
2888 28
9772 60
7971 52
17273 104
2399 25
19710 105
19885 118
11050 66
11058 65
3827 33
2915 27
6538 45
6342 44
15903 87
1550 21
12014 70
10805 65
16981 93
2162 23
11347 67
19884 106
11205 66
2274 24
2953 28
17121 103
315 10
13754 78
7212 57
17313 94
6669 46
10859 65
6684 46
16661 91
2020 23
18253 99
2187 24
18325 99
8614 55
7717 50
16457 91
10305 62
4517 35
6197 44
14810 83
10692 64
4283 34
11405 67
16759 92
6917 47
6842 46
11158 66
2864 28
12029 70
15339 85
10636 64
14892 83
5070 51
7148 48
2245 24
9089 58
17608 96
3984 33
17768 96
11344 67
6349 44
14976 83
7614 50
3661 31
12590 73
17422 95
18631 100
14975 90
4615 36
2525 26
7431 50
10096 62
16182 89
15554 86
4263 34
959 17
15252 85
15075 84
4299 35
7807 51
5724 41
15596 86
15435 85
12865 74
5047 38
11879 69
17905 97
4228 34
13931 79
16794 92
11906 69
17663 96
15212 84
2175 24
19047 103
16255 89
13142 75
15944 88
14794 83
5591 41
6520 45
18188 98
13828 79
16302 89
3569 31
17172 94
1188 18
37 5
19179 103
19946 107
19724 108
11587 68
8505 54
2747 27
11672 69
12452 72
14890 83
7678 51
19920 106
11811 69
15916 88
9710 60
6316 44
19403 104
6080 43
961 17
4883 37
5703 41
19103 102
13203 87
2102 24
2684 27
11792 69
15618 86
12435 72
5871 42
4780 37
2879 27
8510 55
4705 36
14665 82
2979 28
18563 100
18505 100
113 7
19900 106
14209 80
12527 72
13536 77
16322 90
13765 78
3528 31
6614 45
1703 21
2606 26
9612 60
11741 69
2730 26
10042 61
11208 69
11516 68
12334 72
17319 94
12476 72
6129 43
6484 45
19948 107
6108 43
10339 80
6829 51
15397 108
6111 44
1089 22
12662 76
19291 107
9857 62
5407 41
1351 20
17593 99
9516 68
10354 65
7107 49
19739 109
16725 95
6325 46
16225 93
11130 68
3106 29
19985 129
12198 71
12530 73
8301 53
7631 50
12567 73
4907 37
3934 33
16562 91
12840 74
4921 37
1148 18
14397 81
2509 26
682 14
17350 95
13354 76
18659 100
1860 23
12341 72
11940 69
3232 29
13393 76
8168 53
