n memo dp
200 0 0
400 2 0
600 3 1
800 4 1
1000 4 1
1200 5 1
1400 7 1
1600 7 2
1800 8 2
2000 9 2
2200 10 2
2400 13 3
2600 12 3
2800 13 3
3000 14 4
3200 16 4
3400 16 4
3600 18 4
3800 20 5
4000 19 5
4200 22 5
4400 23 5
4600 23 6
4800 25 6
5000 25 6
5200 27 7
5400 26 7
5600 28 7
5800 31 7
6000 32 8
6200 34 8
6400 34 8
6600 36 8
6800 37 9
7000 38 9
7200 37 9
7400 38 10
7600 40 10
7800 43 10
8000 41 10
8200 42 11
8400 44 11
8600 45 11
8800 48 12
9000 43 12
9200 50 12
9400 49 12
9600 51 13
9800 53 13
10000 52 13
10200 56 13
10400 58 14
10600 58 14
10800 56 14
11000 60 14
11200 60 15
11400 62 15
11600 63 15
11800 62 16
12000 61 16
12200 64 16
12400 66 16
12600 61 17
12800 71 17
13000 67 17
13200 69 18
13400 73 18
13600 74 18
13800 74 18
14000 74 19
14200 75 19
14400 80 19
14600 77 19
14800 82 20
15000 78 20
15200 73 20
15400 82 21
15600 87 21
15800 82 21
16000 83 21
16200 89 22
16400 85 22
16600 89 22
16800 86 22
17000 90 23
17200 88 23
17400 91 23
17600 98 24
17800 97 24
18000 96 24
18200 92 24
18400 100 25
18600 105 25
18800 97 25
19000 104 25
19200 97 26
19400 101 26
19600 101 26
19800 102 27
20000 107 27
20200 105 27
20400 106 27
20600 116 28
20800 111 28
21000 115 28
21200 112 28
21400 115 29
21600 115 29
21800 120 29
22000 120 30
22200 115 30
22400 123 30
22600 122 30
22800 122 31
23000 128 31
23200 125 31
23400 121 32
23600 130 32
23800 127 32
24000 127 32
24200 127 33
24400 135 33
24600 129 33
24800 140 34
25000 130 34
25200 129 34
25400 136 34
25600 142 35
25800 144 35
26000 142 35
26200 146 36
26400 145 36
26600 144 36
26800 149 36
27000 146 37
27200 149 37
27400 146 37
27600 150 37
27800 152 38
28000 149 38
28200 153 38
28400 151 39
28600 162 39
28800 162 39
29000 162 39
29200 164 40
29400 160 40
29600 150 40
29800 163 40
30000 164 41
30200 158 41
30400 173 41
30600 163 42
30800 175 42
31000 167 42
31200 166 42
31400 173 43
31600 158 43
31800 170 43
