n t
14036 294382
5507 45083
2580 9833
13000 250567
4336 27391
5221 40559
13401 262366
14062 290738
15430 351968
9526 131686
2865 12226
16794 415886
4747 33300
3018 13492
14507 314113
15743 358969
10177 152468
16116 380669
9201 125139
19646 569632
16278 388790
18638 508880
6941 70568
6016 53115
12316 225263
1190 2164
9303 127944
4654 32246
9388 129231
13499 267533
19036 551846
15785 371306
4666 31607
14011 310827
10910 177921
14723 358220
977 1503
19040 543639
4630 31155
17969 497969
1556 3445
9916 148412
2644 10143
4599 31670
15779 374699
17830 474459
10154 150577
17986 479302
17323 443220
4285 27244
83 22
14138 293280
18494 513856
16497 402309
6477 62396
18956 561854
14674 319257
1001 1452
4442 29103
14729 340164
2702 10874
8974 137182
9062 122666
11656 202233
1222 2281
7429 81396
15196 341552
17616 471553
8926 119208
14782 330318
6353 59272
18450 507732
7035 71681
766 847
11575 212519
16107 383574
15343 360307
1209 3467
8579 112197
19158 543601
16960 417733
15907 375222
11778 201539
19918 599354
5804 49155
2668 10326
6971 71358
17794 469579
12176 214901
14346 306866
2702 10898
18355 515914
7727 96727
9836 149793
19728 587079
4078 24543
18063 483333
12470 227638
6954 70288
13982 289468
12302 222159
4590 31140
3039 13990
6023 53959
16967 422197
7099 72719
17521 479396
10155 160021
16991 424837
1100 1809
3557 21179
18891 529451
163 55
996 1413
747 814
12714 237772
8656 112130
15824 373880
15682 360548
10274 154300
8458 106163
19407 566074
2119 6716
19181 543983
19635 573274
762 836
9679 135498
2801 11364
12378 222980
12524 232001
5876 49804
6805 68262
6810 67326
1521 3392
19550 564028
9780 139435
600 509
2611 9849
6704 65343
2054 6200
3070 13786
11931 212340
3519 18224
3370 16607
1168 2002
2717 10699
7882 96933
10678 169042
9594 133969
1158 1954
4974 36487
5911 52344
2103 6474
4287 26765
5269 41057
1211 2123
3694 23993
15623 360157
7914 91440
2548 9481
4345 28210
14336 307384
976 1416
4035 23734
98 16
451 309
11329 192540
506 387
7726 87487
18058 480850
15961 373755
243 111
18160 489296
14434 305914
13534 268936
4872 35342
213 82
11191 182521
15881 370003
15028 331103
13463 262870
16218 390567
11557 199517
17529 460744
9982 146557
10892 178251
16138 384253
8729 114795
5602 46294
6597 64281
6678 65720
12670 235938
19912 585717
14690 318558
15641 364033
13331 263431
10969 177326
15931 380696
18759 518556
5351 42501
18857 525968
6482 62437
19622 567912
13803 283615
6806 68552
900 1239
2126 6696
10191 154624
18230 489677
17181 435071
17104 434521
13818 279749
11422 193303
2554 9475
13905 284533
1743 4502
17009 427506
17630 460260
11150 184024
1576 3647
3153 14779
10384 160274
14067 290081
5354 43824
8885 117880
18393 502342
5492 45055
10974 179387
6885 70529
1532 3465
17836 470879
7299 79042
19514 563056
4975 36849
8861 117079
5435 44037
11905 209009
2016 6071
2269 7676
14105 294848
14265 301827
10059 150495
16843 418941
15384 349085
15962 379499
10158 152473
13379 262834
18256 497183
15260 345065
11330 189319
4555 31365
12772 242659
1962 5693
7916 92730
5928 51932
18398 502819
4059 24601
13331 263268
13106 254252
2074 6323
13475 267292
11294 190009
13893 282399
16774 412139
10892 175053
3761 21099
15539 355377
17447 453887
6902 72268
11165 183200
7697 87236
14429 307280
6996 72473
2763 11051
17964 477095
9549 135180
6609 65284
18390 498570
4269 26687
66 12
19041 539493
11536 197045
2029 6040
3478 18176
13930 286194
7008 72621
17128 438833
17058 425753
1686 4232
2006 5801
15325 351388
9296 128640
7516 83034
14282 302422
17065 440497
3882 22367
5431 43865
8491 106867
10889 176731
1464 3289
1732 4468
251 97
6704 66331
11120 182724
5762 48913
2021 6040
12362 227347
11562 197188
9767 140672
3022 13533
2763 11269
4614 32206
19287 564555
6245 57008
19672 575055
14810 335500
15898 380292
13047 255424
11282 188486
16493 402973
12342 221300
19809 587885
11600 202257
11101 194660
8204 99930
1722 4442
7990 94215
13181 287748
9007 142171
9725 151908
15194 339844
10336 168144
1413 2984
18017 496877
8412 104375
3994 23705
19505 585928
11283 198246
10669 173044
3030 16303
839 1043
9677 143081
12794 252372
8659 134056
2480 11213
10650 180556
11644 229132
19480 612397
5359 43112
14878 329440
8781 112859
14351 303797
19179 545240
5070 37925
7193 77466
3443 17537
19392 556961
19998 595711
1875 5147
7012 73817
18859 528442
11891 208495
11165 183221
7864 93928
10085 149374
9689 139208
12294 223117
11654 201187
8505 106393
10872 173813
18889 526095
11123 181116
16889 420123
16378 398361
5071 37587
4830 34483
12022 211502
14018 289986
1624 3901
17387 490905
18550 554044
16230 393038
6753 67455
8367 104252
13569 270848
117 35
13121 253427
11001 177246
11965 223778
18925 542747
6064 54793
12442 229466
5314 43426
13449 267296
18300 519739
1308 2487
4585 31130
16365 424039
11436 215533
10545 185125
19403 560888
8345 116999
10313 179276
19369 667330
4467 37690
15126 430730
748 819
12547 241063
1093 1884
13920 287785
501 406
6558 65254
19559 566820
6007 52855
100 26
2268 7453
11551 198105
4023 24301
13431 267426
19445 564134
18055 485046
9990 163024
10216 163334
2069 6414
13750 280774
11495 195550
92 19
7362 79686
8843 119568
13100 291403
12750 241059
6118 55495
6467 61338
10352 157707
12335 225973
13565 302212
18227 659522
8580 133920
1991 7932
12989 316064
17473 554284
14815 351396
10121 158701
19314 571305
18128 513484
17996 479148
19079 548604
7332 78317
8322 101754
11923 227669
3558 20999
6739 76195
16755 431861
3647 21108
18456 547280
7175 75676
11020 178667
12258 221939
17626 456109
10057 148915
2577 9686
19037 553457
7344 79504
10612 163799
8732 124833
5254 41439
4429 29286
7163 76749
18360 514846
16557 424649
14862 329132
13878 290154
7416 81834
15978 390737
7973 92809
1866 5099
1025 1550
12695 241056
236 94
9720 139075
10654 180202
16150 384719
2028 5948
19059 587144
18760 537474
756 964
10135 171530
15840 389997
9098 124013
16136 398464
6262 58359
12814 239926
14590 326557
8941 130792
12110 238025
12562 249704
3633 19188
6173 56427
18649 560477
1961 5583
5862 51964
12217 229460
10793 178931
4907 35231
1806 4902
12633 244775
16318 414771
9905 146154
5692 48424
5065 38070
12356 243175
4358 33926
15841 387546
1171 2030
3241 22923
15470 381465
17964 504886
8444 109909
10580 166703
19064 540247
5797 50821
11198 185234
8906 119897
16178 384218
14114 295464
19479 578270
15825 372591
5808 49757
9122 125141
17388 449298
10770 171858
5181 42603
17581 454519
9425 139800
16462 417702
17626 515203
17553 526738
19629 692476
10962 202174
13032 285447
16770 438377
10047 155398
15330 363309
6316 60318
14321 329458
17473 459263
8031 95873
17926 481967
15634 370477
2661 10350
9596 139090
15011 348945
16551 507848
17137 439982
16705 422348
