n v1 v2 v3
10 0.11 0.019 0.028
110 12.416 0.858 0.514
210 44.314 1.147 0.989
310 98.291 2.026 1.412
410 185.861 2.89 2.105
510 313.842 3.712 2.754
610 487.01 4.634 3.425
710 701.193 5.578 4.136
810 968.315 6.616 4.812
910 1280.68 7.612 5.505
1010 1646.35 8.726 6.175
1110 2062.68 9.715 6.872
1210 2533.53 10.81 7.483
1310 3061.48 11.985 8.161
1410 3636.04 13.089 8.891
1510 4276.09 14.187 9.678
1610 4964.12 15.313 10.491
1710 5719.57 16.495 11.339
1810 6517.19 17.738 12.218
1910 7380.9 18.86 13.108
2010 8304.63 19.984 14.1
2110 9280.97 21.266 15.057
2210 10314.1 22.48 16.071
2310 11395.9 23.644 17.069
2410 12557.5 24.842 18.064
2510 13746 26.011 19.078
2610 15033.5 27.357 20.089
2710 16332.8 28.452 21.113
2810 17694.4 29.712 22.087
2910 19127.7 30.839 23.136
3010 20609.8 32.176 24.121
3110 22161.7 33.466 25.063
3210 23748.5 34.495 26.061
3310 25430.8 35.753 27.062
3410 27159.7 36.852 28.041
3510 28888.2 38.35 29.009
3610 30706.2 39.533 29.986
3710 32597.9 40.856 30.957
3810 34579.9 41.966 31.919
3910 36522.8 43.35 32.887
4010 38597.6 44.396 33.843
4110 40661.3 45.742 34.797
4210 42816.2 47.055 35.698
4310 45077.3 48.277 36.635
4410 47329.2 49.484 37.601
4510 49654.8 50.838 38.512
4610 52042 52.103 39.423
4710 54443.6 53.426 40.462
4810 56978.1 54.598 41.361
4910 59504.4 55.929 42.265
5010 62071.6 57.027 43.17
5110 64696.6 58.478 44.056
5210 67436 59.939 44.975
5310 70217.3 61.176 45.948
5410 73035.7 62.484 46.875
5510 75926.8 63.601 47.768
5610 78879.9 65.058 48.693
5710 81874.9 66.172 49.59
5810 84882.8 67.545 50.53
5910 87919 68.895 51.423
6010 91223.3 70.299 52.428
6110 94307.7 71.711 53.281
6210 97581 72.62 54.176
6310 100871 73.826 55.096
6410 104309 75.049 56.01
6510 107691 76.68 56.912
6610 111126 77.658 57.778
6710 114770 79.09 58.764
6810 118263 80.467 59.637
6910 121892 81.911 60.562
7010 125650 83.186 61.53
7110 129353 84.358 62.498
7210 133212 85.515 63.321
7310 137062 86.892 64.253
7410 140930 88.42 65.082
7510 144908 89.398 65.988
7610 148911 90.692 66.939
7710 153010 92.228 67.863
7810 157173 93.356 68.773
7910 161355 94.818 69.642
8010 165518 96.192 70.616
8110 169871 97.42 71.542
8210 174232 98.552 72.332
8310 178548 100.069 73.361
8410 183150 100.968 74.219
8510 187644 102.61 75.127
8610 192206 104.097 76.048
8710 196720 105.279 76.889
8810 201606 106.442 77.889
8910 206201 107.967 78.782
9010 210952 109.146 79.671
9110 215850 110.246 80.625
9210 220632 111.641 81.532
9310 225569 113.075 82.393
9410 230625 114.336 83.232
9510 235700 115.429 84.135
9610 240658 116.866 85.073
9710 245813 118.522 85.96
9810 251077 119.218 86.837
9910 256464 120.924 87.769
