t err good
100 0.970839 0.789062
200 0.942446 0.789062
300 0.91968 0.789062
400 0.896038 0.789062
500 0.867723 0.789062
600 0.846911 0.789062
700 0.823294 0.789062
800 0.799044 0.789062
900 0.783395 0.789062
1000 0.770423 0.789062
1100 0.757644 0.789062
1200 0.740198 0.789062
1300 0.727754 0.789062
1400 0.716872 0.789062
1500 0.707242 0.789062
1600 0.695767 0.789062
1700 0.688412 0.789062
1800 0.681011 0.789062
1900 0.676306 0.789062
2000 0.671699 0.789062
2100 0.668606 0.789062
2200 0.666628 0.789062
2300 0.665631 0.789062
2400 0.665473 0.789062
2500 0.665202 0.789062
2600 0.664791 0.789062
2700 0.664337 0.789062
2800 0.663769 0.789062
2900 0.663089 0.789062
3000 0.662075 0.789062
3100 0.661245 0.789062
3200 0.660142 0.789062
3300 0.65863 0.789062
3400 0.657173 0.789062
3500 0.656061 0.789062
3600 0.654277 0.789062
3700 0.652652 0.789062
3800 0.6501 0.789062
3900 0.64773 0.789062
4000 0.644391 0.789062
4100 0.642227 0.789062
4200 0.638984 0.789062
4300 0.635818 0.789062
4400 0.632816 0.789062
4500 0.628849 0.789062
4600 0.624946 0.789062
4700 0.6204 0.789062
4800 0.616017 0.789062
4900 0.611168 0.789062
5000 0.606553 0.789062
5100 0.601218 0.789062
5200 0.59687 0.789062
5300 0.59076 0.789062
5400 0.585353 0.789062
5500 0.580527 0.789062
5600 0.574655 0.789062
5700 0.568467 0.789062
5800 0.56315 0.789062
5900 0.555617 0.789062
6000 0.551217 0.789062
6100 0.544844 0.789062
6200 0.539033 0.789062
6300 0.53205 0.789062
6400 0.526927 0.789062
6500 0.521019 0.789062
6600 0.514413 0.789062
6700 0.509065 0.789062
6800 0.503371 0.789062
6900 0.49995 0.789062
7000 0.497365 0.789062
7100 0.493774 0.789062
7200 0.489991 0.789062
7300 0.487406 0.789062
7400 0.485707 0.789062
7500 0.484363 0.789062
7600 0.483754 0.792969
7700 0.483384 0.796875
7800 0.483068 0.804688
7900 0.482713 0.808594
8000 0.482371 0.808594
8100 0.482079 0.808594
8200 0.481787 0.804688
8300 0.481472 0.808594
8400 0.48115 0.808594
8500 0.480833 0.804688
8600 0.480486 0.808594
8700 0.480138 0.8125
8800 0.479869 0.808594
8900 0.479584 0.8125
9000 0.479324 0.816406
9100 0.479115 0.816406
9200 0.478869 0.816406
9300 0.478555 0.8125
9400 0.478237 0.816406
9500 0.477906 0.816406
9600 0.477521 0.808594
9700 0.477303 0.808594
9800 0.476971 0.8125
9900 0.476666 0.816406
10000 0.476393 0.816406
10100 0.476174 0.816406
10200 0.475928 0.816406
10300 0.47569 0.820312
10400 0.475504 0.824219
10500 0.475224 0.820312
10600 0.475 0.816406
10700 0.474837 0.816406
10800 0.474623 0.816406
10900 0.474467 0.820312
11000 0.474233 0.816406
11100 0.474087 0.816406
11200 0.473939 0.816406
11300 0.473712 0.8125
11400 0.473523 0.8125
11500 0.47338 0.8125
11600 0.47325 0.8125
11700 0.473097 0.816406
11800 0.472936 0.804688
11900 0.472739 0.8125
12000 0.472553 0.8125
12100 0.472401 0.808594
12200 0.472206 0.808594
12300 0.472038 0.8125
12400 0.471891 0.8125
12500 0.471734 0.8125
12600 0.471514 0.808594
12700 0.471262 0.808594
12800 0.471013 0.8125
12900 0.470773 0.8125
13000 0.470558 0.8125
13100 0.470316 0.804688
13200 0.469993 0.8125
13300 0.469648 0.808594
13400 0.469275 0.804688
13500 0.469056 0.808594
13600 0.468727 0.804688
13700 0.468302 0.804688
13800 0.467941 0.808594
13900 0.467528 0.804688
14000 0.467096 0.804688
14100 0.466579 0.808594
14200 0.466076 0.800781
14300 0.465632 0.8125
14400 0.465223 0.800781
14500 0.464665 0.792969
14600 0.464049 0.808594
14700 0.463588 0.808594
14800 0.462978 0.808594
14900 0.462467 0.808594
15000 0.461837 0.804688
15100 0.461304 0.808594
15200 0.460814 0.808594
15300 0.460064 0.8125
15400 0.459445 0.8125
15500 0.459004 0.8125
15600 0.458395 0.8125
15700 0.457745 0.8125
15800 0.456946 0.8125
15900 0.456158 0.816406
16000 0.455455 0.8125
16100 0.454468 0.808594
16200 0.453799 0.8125
16300 0.452935 0.8125
16400 0.451982 0.808594
16500 0.45132 0.8125
16600 0.450371 0.8125
16700 0.449537 0.816406
16800 0.448856 0.816406
16900 0.448104 0.8125
17000 0.447255 0.820312
17100 0.446353 0.824219
17200 0.445125 0.820312
17300 0.444326 0.824219
17400 0.443444 0.828125
17500 0.441994 0.824219
17600 0.440825 0.828125
17700 0.439994 0.824219
17800 0.438873 0.824219
17900 0.437839 0.828125
18000 0.436678 0.828125
18100 0.435775 0.828125
18200 0.434793 0.828125
18300 0.433732 0.828125
18400 0.432649 0.832031
18500 0.431612 0.835938
18600 0.430492 0.839844
18700 0.42932 0.839844
18800 0.427993 0.835938
18900 0.426675 0.839844
19000 0.425354 0.839844
19100 0.424131 0.839844
19200 0.422837 0.839844
19300 0.422301 0.839844
19400 0.421429 0.84375
19500 0.420255 0.839844
19600 0.419084 0.835938
19700 0.4181 0.839844
19800 0.41696 0.84375
19900 0.415782 0.847656
20000 0.414577 0.851562
20100 0.413563 0.863281
20200 0.412337 0.859375
20300 0.41105 0.847656
20400 0.410127 0.851562
20500 0.408861 0.863281
20600 0.407649 0.863281
20700 0.406531 0.867188
20800 0.405243 0.867188
20900 0.403879 0.855469
21000 0.402831 0.855469
21100 0.401465 0.867188
21200 0.400375 0.867188
21300 0.399398 0.863281
21400 0.398262 0.859375
21500 0.39714 0.867188
21600 0.395967 0.871094
21700 0.394877 0.867188
21800 0.394025 0.867188
21900 0.392883 0.871094
22000 0.391887 0.878906
22100 0.391133 0.875
22200 0.390073 0.867188
22300 0.388907 0.878906
22400 0.388181 0.882812
22500 0.387353 0.882812
22600 0.386483 0.875
22700 0.385491 0.882812
22800 0.384617 0.882812
22900 0.383967 0.882812
23000 0.383328 0.882812
23100 0.382696 0.886719
23200 0.381733 0.886719
23300 0.380976 0.890625
23400 0.380158 0.886719
23500 0.379432 0.886719
23600 0.378537 0.894531
23700 0.37763 0.894531
23800 0.376735 0.898438
23900 0.375805 0.894531
24000 0.375138 0.898438
24100 0.374619 0.898438
24200 0.373892 0.894531
24300 0.373047 0.898438
24400 0.372175 0.894531
24500 0.371223 0.894531
24600 0.37038 0.890625
24700 0.369399 0.890625
24800 0.36884 0.890625
24900 0.367961 0.890625
25000 0.367018 0.882812
25100 0.366214 0.882812
25200 0.3652 0.882812
25300 0.36416 0.886719
25400 0.363117 0.886719
25500 0.362517 0.886719
25600 0.361571 0.882812
25700 0.360618 0.878906
25800 0.359827 0.882812
25900 0.359021 0.878906
26000 0.358198 0.886719
26100 0.357396 0.886719
26200 0.356642 0.886719
26300 0.355615 0.890625
26400 0.355038 0.886719
26500 0.354196 0.882812
26600 0.35345 0.882812
26700 0.352687 0.882812
26800 0.351892 0.890625
26900 0.350896 0.886719
27000 0.350063 0.886719
27100 0.349201 0.886719
27200 0.348432 0.886719
27300 0.34718 0.886719
27400 0.346217 0.890625
27500 0.345149 0.890625
27600 0.344219 0.882812
27700 0.343233 0.886719
27800 0.342076 0.894531
27900 0.340852 0.898438
28000 0.339907 0.898438
28100 0.338855 0.902344
28200 0.337594 0.898438
28300 0.336348 0.902344
28400 0.335016 0.898438
28500 0.333993 0.90625
28600 0.332792 0.910156
28700 0.331104 0.914062
28800 0.329782 0.914062
28900 0.328261 0.914062
29000 0.326886 0.910156
29100 0.325158 0.910156
29200 0.323584 0.917969
29300 0.321746 0.917969
29400 0.320075 0.917969
29500 0.318275 0.917969
29600 0.316643 0.921875
29700 0.315306 0.925781
29800 0.313212 0.917969
29900 0.311185 0.921875
30000 0.309831 0.921875
30100 0.308076 0.921875
30200 0.306351 0.917969
30300 0.304297 0.921875
30400 0.302417 0.921875
30500 0.301048 0.921875
30600 0.299498 0.921875
30700 0.298131 0.921875
30800 0.296458 0.925781
30900 0.29501 0.925781
31000 0.292968 0.929688
31100 0.291258 0.925781
31200 0.289493 0.925781
31300 0.287431 0.929688
31400 0.285402 0.929688
31500 0.284296 0.929688
31600 0.28308 0.929688
31700 0.281658 0.929688
31800 0.279801 0.933594
31900 0.277851 0.933594
32000 0.276419 0.9375
32100 0.274421 0.9375
32200 0.273128 0.9375
32300 0.271234 0.9375
32400 0.26913 0.9375
32500 0.26781 0.9375
32600 0.266313 0.9375
32700 0.264823 0.9375
32800 0.263404 0.9375
32900 0.261661 0.9375
33000 0.260191 0.9375
33100 0.258813 0.941406
33200 0.25711 0.941406
33300 0.255152 0.9375
33400 0.253906 0.941406
33500 0.252141 0.9375
33600 0.250472 0.945312
33700 0.249048 0.945312
33800 0.247862 0.945312
33900 0.246426 0.945312
34000 0.245272 0.945312
34100 0.243817 0.945312
34200 0.242685 0.945312
34300 0.241541 0.945312
34400 0.240575 0.941406
34500 0.239151 0.941406
34600 0.238096 0.941406
34700 0.237025 0.9375
34800 0.235781 0.941406
34900 0.234167 0.945312
35000 0.232974 0.941406
35100 0.232107 0.945312
35200 0.231105 0.945312
35300 0.230485 0.949219
35400 0.229252 0.945312
35500 0.228047 0.949219
35600 0.226858 0.949219
35700 0.225604 0.949219
35800 0.224505 0.953125
35900 0.223502 0.957031
36000 0.22242 0.953125
36100 0.221702 0.953125
36200 0.220616 0.953125
36300 0.219892 0.957031
36400 0.218919 0.953125
36500 0.217834 0.953125
36600 0.216936 0.953125
36700 0.215961 0.953125
36800 0.214987 0.957031
36900 0.214123 0.953125
37000 0.21328 0.953125
37100 0.212246 0.957031
37200 0.211514 0.953125
37300 0.210768 0.953125
37400 0.209797 0.953125
37500 0.208687 0.953125
37600 0.207726 0.957031
37700 0.206793 0.957031
37800 0.206071 0.953125
37900 0.205307 0.957031
38000 0.204467 0.957031
38100 0.203621 0.957031
38200 0.202975 0.960938
38300 0.202163 0.953125
38400 0.201435 0.949219
38500 0.200489 0.957031
38600 0.199617 0.957031
38700 0.198797 0.957031
38800 0.198009 0.960938
38900 0.197196 0.960938
39000 0.196267 0.957031
39100 0.195487 0.960938
39200 0.194465 0.957031
39300 0.193684 0.957031
39400 0.192695 0.957031
39500 0.191887 0.953125
39600 0.191293 0.953125
39700 0.190433 0.953125
39800 0.189722 0.957031
39900 0.188899 0.957031
40000 0.188311 0.957031
40100 0.18755 0.957031
40200 0.186829 0.960938
40300 0.18611 0.964844
40400 0.185241 0.960938
40500 0.184506 0.964844
40600 0.183669 0.964844
40700 0.183033 0.964844
40800 0.182436 0.960938
40900 0.18178 0.964844
41000 0.181099 0.960938
41100 0.180616 0.960938
41200 0.179796 0.964844
41300 0.179218 0.964844
41400 0.178462 0.960938
41500 0.17789 0.960938
41600 0.177349 0.964844
41700 0.176662 0.96875
41800 0.175951 0.96875
41900 0.175319 0.972656
42000 0.174651 0.972656
42100 0.173824 0.96875
42200 0.173312 0.96875
42300 0.172563 0.96875
42400 0.171829 0.96875
42500 0.171143 0.96875
42600 0.17058 0.972656
42700 0.170082 0.96875
42800 0.169404 0.96875
42900 0.168733 0.96875
43000 0.167947 0.972656
43100 0.1673 0.964844
43200 0.166546 0.964844
43300 0.165944 0.964844
43400 0.165118 0.96875
43500 0.164532 0.972656
43600 0.163814 0.972656
43700 0.163328 0.972656
43800 0.162676 0.96875
43900 0.16219 0.972656
44000 0.161646 0.972656
44100 0.161129 0.972656
44200 0.160281 0.972656
44300 0.159612 0.972656
44400 0.158968 0.972656
44500 0.158526 0.96875
44600 0.157824 0.96875
44700 0.157221 0.96875
44800 0.156535 0.96875
44900 0.155741 0.972656
