i t0002 t0004 t0008 t0016 t0032 t0064 t0128 t0256 t0512 t1024 tall
0 0 0 -0 0.444773 0.11761 0.125727 -0.0594523 -0.114673 0.0379784 0.0835682 0.0846644
1 -0.397789 -0.0377097 -0.0529985 0.470042 0.0981111 0.124261 -0.0610709 -0.110936 0.0397698 0.0832548 0.0851182
2 0 -0.204387 -0.14643 0.4847 0.0787289 0.122907 -0.0626613 -0.107197 0.0415614 0.0829414 0.085565
3 0.126714 -0.208992 -0.25216 0.481407 0.0596079 0.121758 -0.0641971 -0.10345 0.0433534 0.0826281 0.086006
4 0 0 -0.31987 0.456186 0.0409117 0.120889 -0.0656538 -0.0996931 0.0451461 0.082315 0.086455
5 -0.0270748 0.197814 -0.315675 0.408133 0.022813 0.12036 -0.0670089 -0.0959235 0.0469396 0.082002 0.0869128
6 0 0.168393 -0.239662 0.339053 0.00548345 0.120213 -0.0682416 -0.0921383 0.0487341 0.0816892 0.0873673
7 0.328222 0.0054418 -0.12234 0.253014 -0.0109141 0.120479 -0.0693329 -0.0883348 0.0505298 0.0813767 0.0878274
8 0 0 0 0.155843 -0.0262332 0.121173 -0.0702657 -0.0845106 0.0523269 0.0810645 0.0882908
9 -0.145895 0.146759 0.131709 0.0545356 -0.0403504 0.122301 -0.0710242 -0.0806634 0.0541255 0.0807526 0.0887808
10 0 0.321712 0.291446 -0.0434025 -0.0531698 0.123855 -0.0715945 -0.0767911 0.0559258 0.0804411 0.0893018
11 -0.194482 0.241558 0.430402 -0.130688 -0.0646275 0.125821 -0.0719642 -0.0728918 0.057728 0.08013 0.0898181
12 0 0 0.48662 -0.201067 -0.0746948 0.128174 -0.0721222 -0.0689638 0.0595322 0.0798194 0.0903416
13 0.15622 -0.194983 0.433449 -0.250193 -0.0833799 0.130884 -0.0720591 -0.0650052 0.0613385 0.0795093 0.090875
14 0 -0.171734 0.295919 -0.276583 -0.0907286 0.133913 -0.0717665 -0.0610147 0.0631471 0.0791997 0.0914309
15 0.188141 -0.012306 0.135035 -0.282641 -0.0968245 0.137217 -0.0712378 -0.056991 0.0649582 0.0788907 0.0920281
16 0 0 0 -0.27576 -0.101787 0.14075 -0.0704673 -0.0529327 0.0667717 0.0785823 0.092639
17 -0.427983 -0.0613151 -0.134372 -0.265469 -0.105771 0.14446 -0.0694508 -0.0488389 0.068588 0.0782746 0.0932581
18 0 -0.0653349 -0.292255 -0.250748 -0.10896 0.148292 -0.068185 -0.0447086 0.070407 0.0779676 0.0939103
19 0.408261 -0.0175462 -0.425332 -0.22931 -0.111564 0.152191 -0.0666679 -0.040541 0.0722289 0.0776613 0.0945896
20 0 0 -0.474821 -0.200714 -0.113815 0.156098 -0.0648985 -0.0363354 0.0740537 0.0773558 0.0952871
21 -0.125746 0.0733883 -0.417575 -0.165875 -0.115956 0.159957 -0.062877 -0.0320913 0.0758816 0.0770511 0.0960337
22 0 0.245153 -0.280869 -0.126617 -0.118237 0.163707 -0.0606044 -0.0278083 0.0777127 0.0767472 0.0968231
23 0.0439681 0.22252 -0.125904 -0.0852857 -0.120906 0.167293 -0.0580826 -0.023486 0.0795471 0.0764443 0.0976135
24 -0 0 0 -0.0444019 -0.124198 0.170658 -0.0553145 -0.0191243 0.0813847 0.0761422 0.0983911
25 -0.220719 -0.162716 0.0985139 -0.0063751 -0.128324 0.173747 -0.0523039 -0.0147231 0.0832258 0.0758411 0.099169
26 0 -0.0525782 0.129471 0.0267377 -0.133457 0.176507 -0.0490553 -0.0102824 0.0850703 0.075541 0.099962
27 0.233424 0.0992524 0.0821516 0.053421 -0.139724 0.17889 -0.0455739 -0.00580229 0.0869183 0.075242 0.100742
28 -0 0 -0.0126992 0.072839 -0.147187 0.180848 -0.0418658 -0.00128309 0.0887699 0.074944 0.101487
29 -0.243688 -0.102825 -0.104695 0.0849233 -0.15583 0.182338 -0.0379375 0.00327489 0.0906252 0.0746471 0.102231
30 0 0.0410735 -0.1448 0.0904091 -0.165543 0.183322 -0.0337964 0.00787123 0.0924841 0.0743513 0.103012
31 -0.114676 0.152402 -0.105475 0.0908216 -0.1761 0.183762 -0.0294504 0.0125054 0.0943467 0.0740567 0.103802
32 0 0 0 0.0884116 -0.187149 0.18363 -0.0249079 0.0171768 0.0962131 0.0737633 0.104598
33 -0.0481132 -0.186875 0.121772 0.0858127 -0.19849 0.182898 -0.0201779 0.0218846 0.0980832 0.0734712 0.105396
34 0 -0.15208 0.234882 0.0846928 -0.21089 0.181545 -0.0152697 0.0266282 0.0999572 0.0731803 0.106213
35 0.0250789 0.00330954 0.304273 0.0855914 -0.225033 0.179553 -0.0101933 0.0314066 0.101835 0.0728907 0.10703
36 0 0 0.302775 0.0883037 -0.241246 0.176911 -0.00495884 0.0362189 0.103717 0.0726025 0.107821
37 0.0106837 -0.122982 0.233216 0.0921524 -0.259566 0.173611 0.000422995 0.0410641 0.105602 0.0723156 0.108589
38 0 -0.233281 0.130577 0.0962192 -0.279792 0.169651 0.00594126 0.045941 0.107491 0.0720301 0.10935
39 0.0810812 -0.158596 0.0441958 0.0995358 -0.301542 0.165034 0.0115847 0.0508484 0.109385 0.0717461 0.110128
40 0 0 -0 0.101235 -0.324298 0.159767 0.0173418 0.0557852 0.111282 0.0714636 0.110917
41 -0.0940049 0.0680812 -0.0368598 0.100659 -0.347451 0.153862 0.0232009 0.0607501 0.113183 0.0711825 0.111701
42 0 -0.0581864 -0.0900278 0.0974313 -0.370344 0.147337 0.02915 0.0657415 0.115088 0.070903 0.112474
43 0.314525 -0.138314 -0.143378 0.0914866 -0.392301 0.140211 0.035177 0.0707582 0.116996 0.070625 0.113257
44 0 0 -0.172201 0.0830572 -0.412668 0.132509 0.0412696 0.0757987 0.118909 0.0703487 0.114051
45 -0.187914 0.227128 -0.162314 0.0726231 -0.430831 0.124261 0.0474156 0.0808613 0.120825 0.0700739 0.114867
46 0 0.344177 -0.117824 0.0608203 -0.446246 0.115498 0.0536025 0.0859444 0.122745 0.0698008 0.115699
47 0.336775 0.188305 -0.0575333 0.0483083 -0.458454 0.106256 0.0598178 0.0910466 0.124668 0.0695294 0.116527
48 0 0 0 0.0355973 -0.4671 0.0965716 0.0660491 0.0961659 0.126596 0.0692597 0.11735
49 -0.0922644 -0.077234 0.0414721 0.0223843 -0.471939 0.0864854 0.0722839 0.101301 0.128527 0.0689918 0.118191
50 -0 0.0134853 0.0290472 0.00685349 -0.472844 0.0760387 0.0785097 0.106449 0.130462 0.0687256 0.119043
51 -0.389126 0.0935112 -0.0343715 -0.0117857 -0.469812 0.0652743 0.0847141 0.11161 0.1324 0.0684613 0.119883
52 0 0 -0.113672 -0.0331259 -0.462955 0.0542354 0.0908849 0.11678 0.134342 0.0681987 0.120731
53 0.0670804 -0.199164 -0.167419 -0.0560145 -0.4525 0.0429651 0.0970098 0.121959 0.136287 0.0679381 0.121579
54 0 -0.3537 -0.166253 -0.0789364 -0.438778 0.031506 0.103077 0.127144 0.138235 0.0676793 0.122448
55 0.392802 -0.227763 -0.103782 -0.100329 -0.422204 0.0198989 0.109074 0.132333 0.140187 0.0674224 0.123366
56 0 0 0 -0.118825 -0.403266 0.00818277 0.114989 0.137524 0.142142 0.0671675 0.124292
57 -0.270277 0.102824 0.112647 -0.133432 -0.382496 -0.0036066 0.120812 0.142715 0.144101 0.0669145 0.125221
58 0 -0.0486207 0.215251 -0.143636 -0.360447 -0.0154371 0.12653 0.147905 0.146062 0.0666636 0.126148
59 -0.181044 -0.16151 0.275975 -0.149441 -0.337658 -0.0272814 0.132132 0.15309 0.148027 0.0664147 0.127064
60 0 0 0.271452 -0.151337 -0.314624 -0.0391176 0.137607 0.15827 0.149995 0.0661678 0.127994
