n f
0 50.8092
1 15.5331
2 8.34164
3 5.1909
4 3.54466
5 2.41677
6 1.76657
7 1.28964
8 1.0071
9 0.850962
10 0.749296
11 0.59452
12 0.501048
13 0.481928
14 0.413038
15 0.329429
16 0.286335
17 0.281479
18 0.262208
19 0.257656
20 0.245972
21 0.223666
22 0.222452
23 0.205457
24 0.203636
25 0.196352
26 0.179509
27 0.178295
28 0.164942
29 0.145671
30 0.141422
31 0.125034
32 0.124579
33 0.121696
34 0.11684
35 0.114109
36 0.10637
37 0.105612
38 0.102728
39 0.0966588
40 0.0965071
41 0.0945345
42 0.0934723
43 0.0910444
44 0.0892235
45 0.0784499
46 0.0781465
47 0.0679798
48 0.0626689
49 0.0597858
50 0.0549301
51 0.0528058
52 0.0455222
53 0.0441565
54 0.0424874
55 0.0423357
56 0.0377834
57 0.0358108
58 0.0329277
59 0.0288307
60 0.0242785
61 0.0242785
62 0.0227611
63 0.0212437
64 0.0206367
65 0.020485
66 0.0195745
67 0.0180571
68 0.0179054
69 0.0171467
70 0.0168432
71 0.0160845
72 0.0154776
73 0.0154776
74 0.0151741
75 0.0145671
76 0.0142636
77 0.0138084
78 0.0133532
79 0.0130497
80 0.0130497
81 0.012898
82 0.0121393
83 0.0119875
84 0.0118358
85 0.011684
86 0.011684
87 0.011684
88 0.0115323
89 0.0115323
90 0.0110771
91 0.0110771
92 0.0109253
93 0.0100149
94 0.00986315
95 0.00955966
96 0.00955966
97 0.00940792
98 0.00925618
99 0.00910444
100 0.00910444
101 0.00880096
102 0.00880096
103 0.00864922
104 0.00849748
105 0.00834574
106 0.00834574
107 0.00789052
108 0.00789052
109 0.00789052
110 0.00773878
111 0.00773878
112 0.00743529
113 0.00728355
114 0.00698007
115 0.00652485
116 0.00652485
117 0.00652485
118 0.00591789
119 0.00561441
120 0.00561441
121 0.00500744
122 0.0033383
123 0.000455222
124 0.000303481
125 0.000151741
126 0.000151741
127 0.000151741
128 0.000151741
